Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes,GISID,longitude,latitude
J02,23,8/15/2022,EG/LS,0,2,1,3,,J02 23,-68.2478892,44.15712215
G10,7,7/5/2022,EG/LS,0,0,0,0,,G10 7,-68.24980713,44.15380356
N32,11,8/11/2022,EG/LS,0,1,2,3,,N32 11,-68.24580803,44.14378362
N25,8,8/19/2022,EG/LS/HA,1,2,2,5,,N25 8,-68.24551671,44.14702287
M04,3,7/24/2022,EG/LS/WH,14,3,4,21,3 deaths,M04 3,-68.24602035,44.15656963
L35,17,8/13/2022,EG/LS,2,0,3,5,,L35 17,-68.24695152,44.14235064
M05,16,8/18/2022,EG/LS/HA,6,0,3,9,,M05 16,-68.24627962,44.15585109
M29,22,6/11/2022,"EG, LS",2,1,0,3,,M29 22,-68.24629322,44.14495724
E10,22,7/5/2022,EG/LS,0,0,0,0,,E10 22,-68.251186,44.15354251
M05,12,8/18/2022,EG/LS/HA,20,5,5,30,,M05 12,-68.24615342,44.15594029
J33,7,8/13/2022,EG/LS,0,0,0,0,,J33 7,-68.24806296,44.14343835
N31,15,6/18/2022,EG/LS,0,0,0,0,,N31 15,-68.24530221,44.14423044
I13,8,7/28/2022,EG/LS/AP,0,0,0,0,,I13 8,-68.24857385,44.15244497
H20,18,6/28/2022,EG/LS,1,2,2,5,,H20 18,-68.24924127,44.14911815
I03,12,7/24/2022,EG/LS/WH,0,0,0,0,,I03 12,-68.24864292,44.15685701
E16,17,7/30/2022,EG/LS,0,0,0,0,,E16 17,-68.25121901,44.15093178
N01,17,7/22/2022,EG/LS,1,0,1,2,1 death,N01 17,-68.2455064,44.15764663
K21,14,6/12/2022,LS,2,2,2,6,,K21 14,-68.24724534,44.14874489
K28,19,6/16/2022,EG/LS,1,3,0,4,,K28 19,-68.24728653,44.14550399
L32,16,6/11/2022,EG,0,0,0,0,,L32 16,-68.24705937,44.14370184
L31,16,6/12/2022,LS,0,0,0,0,,L31 16,-68.24705251,44.14424199
K23,12,6/23/2022,LS,0,0,0,0,,K23 12,-68.24750684,44.14784629
I19,15,6/28/2022,EG/LS,0,1,0,1,,I19 15,-68.24835919,44.14965255
M28,8,8/20/2022,EG/LS/HA,3,0,2,5,,M28 8,-68.24615903,44.14567662
,,,,,,,,,,-68.24879823,44.14461361
,,,,,,,,,,-68.24514622,44.14666029
,,,,,,,,,,-68.24954792,44.15452212
,,,,,,,,,,-68.24982537,44.15236316
,,,,,,,,,,-68.24957758,44.15218147
,,,,,,,,,,-68.25183964,44.15129598
,,,,,,,,,,-68.24465989,44.14557668
,,,,,,,,,,-68.24642626,44.14432789
K35,10,,,,,,,,K35 10,-68.24781839,44.14253968
M32,22,8/11/2022,EG/LS,0,0,0,0,,M32 22,-68.2463104,44.14360687
O30,1,6/11/2022,EG,0,0,0,0,,O30 1,-68.24516916,44.14485979
N29,6,6/11/2022,EG ,7,5,6,18,,N29 6,-68.24578969,44.14522402
J03,10,7/24/2022,EG/LS/WH,0,1,1,2,,J03 10,-68.24764139,44.15694045
H07,23,6/25/2022,EG/LS,1,2,0,3,,H07 23,-68.24916822,44.15487975
K29,12,6/16/2022,EG,4,1,1,6,,K29 12,-68.24754115,44.14514554
N26,8,6/22/2022,LS,4,1,0,5,,N26 8,-68.24552244,44.14657274
M33,14,8/11/2022,EG/LS,0,0,0,0,,M33 14,-68.2460638,44.14333514
K26,11,6/22/2022,LS,0,1,0,1,,K26 11,-68.24764903,44.14649673
I21,25,6/28/2022,EG/LS,0,0,0,0,,I21 25,-68.2483729,44.14857225
K29,11,6/16/2022,LS,2,4,4,10,,K29 11,-68.24766618,44.14514636
H09,3,6/25/2022,EG/LS/JM,0,0,0,0,,H09 3,-68.24917507,44.1543396
D06,23,8/16/2022,EG/LS,0,0,0,0,,D06 23,-68.25166341,44.15534629
O31,24,6/18/2022,EG/LS,0,0,0,0,,O31 24,-68.24480442,44.14404709
E21,8,7/9/2022,EG/LS/JM,0,0,0,0,,E21 8,-68.25112016,44.14886039
N05,8,7/21/2022,EG/LS,4,0,3,7,2 deaths,N05 8,-68.245402,44.15602536
J23,8,6/23/2022,EG/LS/JM,0,0,0,0,,J23 8,-68.24800582,44.1479396
K06,6,7/12/2022,EG/LS,0,0,0,0,,K06 6,-68.2475335,44.15558925
D07,10,8/16/2022,EG/LS,0,0,0,0,,D07 10,-68.25141559,44.1551646
G08,5,6/17/2022,LS,0,0,0,0,,G08 5,-68.24954449,44.15479219
D18,8,7/30/2022,EG/LS,0,0,0,0,,D18 8,-68.25172825,44.15021486
L26,6,6/22/2022,EG/LS,0,0,0,0,,L26 6,-68.24702275,44.14658264
H32,5,8/13/2022,EG/LS,0,0,0,0,,H32 5,-68.24905627,44.14398508
O32,1,8/11/2022,EG/LS,0,0,0,0,,O32 1,-68.24518063,44.14395954
M28,6,8/20/2022,EG/LS/HA,0,0,1,1,,M28 6,-68.24640908,44.14567827
L21,16,6/12/2022,LS,2,0,1,3,,L21 16,-68.24699643,44.14865322
I25,3,7/10/2022,EG/LS,0,0,0,0,,I25 3,-68.24864124,44.14713349
J13,21,7/25/2022,EG/LS/JM,1,2,0,3,,J13 21,-68.24807713,44.1521716
L34,18,8/13/2022,EG/LS,0,0,0,0,,L34 18,-68.24682078,44.14279994
H10,24,7/5/2022,EG/LS,0,0,0,0,,H10 24,-68.2490603,44.15352855
J26,16,6/29/2022,EG/LS/JM,0,0,0,0,,J26 16,-68.2482753,44.14641082
K08,7,6/25/2022,EG/LS/JM,0,0,1,1,,K08 7,-68.2474199,44.15468818
M34,16,8/11/2022,EG/LS,2,0,0,2,,M34 16,-68.24644572,44.14279747
I02,3,8/15/2022,EG/LS,0,0,0,0,,I02 3,-68.24850987,44.15748636
H21,23,6/28/2022,EG/LS,0,0,0,0,,H21 23,-68.24924812,44.148578
N25,12,8/19/2022,EG/LS/HA,3,0,2,5,,N25 12,-68.24564288,44.14693367
M33,8,8/11/2022,EG/LS,0,0,0,0,,M33 8,-68.24618767,44.14342599
I14,6,7/28/2022,EG/LS/AP,0,2,1,3,1 death,I14 6,-68.24882964,44.15199649
I13,15,7/28/2022,EG/LS/AP,0,0,1,1,,I13 15,-68.24832492,44.1523533
K02,21,8/15/2022,EG/LS,0,1,0,1,,K02 21,-68.24751405,44.15711968
E06,16,6/17/2022,EG/LS,0,0,0,0,,E06 16,-68.25128713,44.15543385
M34,9,8/11/2022,EG/LS,2,0,0,2,incl. foundation,M34 9,-68.24606838,44.14297504
P30,21,8/12/2022,EG/LS,0,0,0,0,,P30 21,-68.24454864,44.14449556
E16,21,7/30/2022,EG/LS,0,0,0,0,,E16 21,-68.25134518,44.15084258
