"","flag","clutch","year","species"
"727",NA,"2","2014","herg"
"728",NA,"3","2014","herg"
"729",NA,"3","2014","herg"
"730",NA,"3","2014","herg"
"731",NA,"2","2014","herg"
"732",NA,"3","2014","herg"
"733",NA,"3","2014","herg"
"734",NA,"3","2014","herg"
"735",NA,"3","2014","herg"
"736",NA,"3","2014","herg"
"737",NA,"3","2014","herg"
"738",NA,"3","2014","herg"
"739",NA,"2","2014","herg"
"740",NA,"3","2014","herg"
"741",NA,"3","2014","herg"
"742",NA,"3","2014","herg"
"743",NA,"3","2014","herg"
"744",NA,"3","2014","herg"
"745",NA,"3","2014","herg"
"746",NA,"3","2014","herg"
"747",NA,"3","2014","herg"
"748",NA,"2","2014","herg"
"749",NA,"3","2014","herg"
"750",NA,"2","2014","herg"
"751",NA,"3","2014","herg"
"752",NA,"3","2014","herg"
"753",NA,"3","2014","herg"
"754",NA,"3","2014","herg"
"755",NA,"2","2014","herg"
"756",NA,"3","2014","herg"
"757",NA,"2","2014","herg"
"758",NA,"3","2014","herg"
"759",NA,"3","2014","herg"
"760",NA,"3","2014","herg"
"761",NA,"3","2014","herg"
"762",NA,"3","2014","herg"
"763",NA,"3","2014","herg"
"764",NA,"3","2014","herg"
"765",NA,"3","2014","herg"
"766",NA,"3","2014","herg"
"767",NA,"1","2014","herg"
"768",NA,"3","2014","herg"
"769",NA,"3","2014","herg"
"770",NA,"3","2014","herg"
"771",NA,"3","2014","herg"
"772",NA,"2","2014","herg"
"773",NA,"2","2014","herg"
"774",NA,"2","2014","herg"
"775",NA,"2","2014","herg"
"776",NA,"3","2014","herg"
"777",NA,"3","2014","herg"
"778",NA,"2","2014","herg"
"779",NA,"3","2014","herg"
"780",NA,"3","2014","herg"
"781",NA,"2","2014","herg"
"782",NA,"3","2014","herg"
"783",NA,"3","2014","herg"
"784",NA,"3","2014","herg"
"785",NA,"3","2014","herg"
"786",NA,"1","2014","herg"
"787",NA,"3","2014","herg"
"788",NA,"3","2014","herg"
"789",NA,"3","2014","herg"
"790",NA,"3","2014","herg"
"791",NA,"3","2014","herg"
"792",NA,"2","2014","herg"
"793",NA,"3","2014","herg"
"794",NA,"2","2014","herg"
"795",NA,"3","2014","herg"
"796",NA,"3","2014","herg"
"797",NA,"3","2014","herg"
"798",NA,"2","2014","herg"
"799",NA,"3","2014","herg"
"800",NA,"3","2014","herg"
"801",NA,"3","2014","herg"
"802",NA,"3","2014","herg"
"803",NA,"3","2014","herg"
"804",NA,"3","2014","herg"
"805",NA,"2","2014","herg"
"806",NA,"3","2014","herg"
"807",NA,"3","2014","herg"
"808",NA,"3","2014","herg"
"809",NA,"3","2014","herg"
"810",NA,"3","2014","herg"
"811",NA,"3","2014","herg"
"812",NA,"3","2014","herg"
"813",NA,"3","2014","herg"
"814",NA,"2","2014","herg"
"815",NA,"3","2014","herg"
"816",NA,"2","2014","herg"
"817",NA,"1","2014","gbbg"
"818",NA,"3","2014","herg"
"819",NA,"3","2014","herg"
"820",NA,"5","2014","herg"
"821",NA,"3","2014","herg"
"822",NA,"3","2014","herg"
"823",NA,"3","2014","herg"
"824",NA,"3","2014","herg"
"825",NA,"3","2014","herg"
"826",NA,"3","2014","herg"
"827",NA,"2","2014","herg"
"828",NA,"2","2014","herg"
"829",NA,"3","2014","herg"
"830",NA,"3","2014","herg"
"831",NA,"3","2014","herg"
"832",NA,"3","2014","herg"
"833",NA,"3","2014","herg"
"834",NA,"3","2014","herg"
"835",NA,"3","2014","herg"
"836",NA,"3","2014","herg"
"837",NA,"3","2014","herg"
"838",NA,"3","2014","herg"
"839",NA,"3","2014","herg"
"840",NA,"3","2014","herg"
"841",NA,"3","2014","herg"
"842",NA,"3","2014","herg"
"843",NA,"3","2014","herg"
"844",NA,"2","2014","herg"
"845",NA,"3","2014","herg"
"846",NA,"3","2014","herg"
"847",NA,"2","2014","herg"
"848",NA,"3","2014","herg"
"849",NA,"3","2014","herg"
"850",NA,"2","2014","herg"
"851",NA,"3","2014","herg"
"852",NA,"1","2014","herg"
"853",NA,"3","2014","herg"
"854",NA,"3","2014","herg"
"855",NA,"1","2014","herg"
"856",NA,"3","2014","herg"
"857",NA,"2","2014","herg"
"858",NA,"3","2014","herg"
"859",NA,"2","2014","herg"
"860",NA,"3","2014","herg"
"861",NA,"3","2014","herg"
"862",NA,"2","2014","herg"
"863",NA,"3","2014","herg"
"864",NA,"3","2014","herg"
"865",NA,"3","2014","herg"
"866",NA,"3","2014","herg"
"867",NA,"3","2014","herg"
"868",NA,"3","2014","herg"
"869",NA,"3","2014","herg"
"870",NA,"3","2014","herg"
"871",NA,"3","2014","herg"
"872",NA,"1","2014","herg"
"873",NA,"3","2014","herg"
"874",NA,"2","2014","herg"
"875",NA,"2","2014","herg"
"876",NA,"3","2014","herg"
"877",NA,"3","2014","herg"
"878",NA,"3","2014","herg"
"879",NA,"3","2014","herg"
"880",NA,"2","2014","herg"
"881",NA,"3","2014","herg"
"882",NA,"2","2014","herg"
"883",NA,"3","2014","herg"
"884",NA,"3","2014","herg"
"885",NA,"3","2014","herg"
"886",NA,"3","2014","herg"
"887",NA,"3","2014","herg"
"888",NA,"2","2014","herg"
"889",NA,"3","2014","herg"
"890",NA,"3","2014","herg"
"891",NA,"2","2014","herg"
"892",NA,"3","2014","herg"
"893",NA,"3","2014","herg"
"894",NA,"3","2014","herg"
"895",NA,"3","2014","herg"
"896",NA,"3","2014","herg"
"897",NA,"3","2014","herg"
"898",NA,"2","2014","herg"
"899",NA,"3","2014","herg"
"900",NA,"3","2014","herg"
