"","flag","clutch","year","species"
"322","377","3","2015","herg"
"323","21","3","2015","herg"
"324","114","3","2015","herg"
"325","443","2","2015","herg"
"326","145","2","2015","herg"
"327","526","2","2015","herg"
"328","104","2","2015","herg"
"329","110","3","2015","herg"
"330","278","0","2015","herg"
"331","141","3","2015","herg"
"332","133","3","2015","herg"
"333","161","3","2015","herg"
"334","464","1","2015","herg"
"335","XX9","3","2015","herg"
"336","313","2","2015","herg"
"337","446","1","2015","herg"
"338","524","3","2015","herg"
"339","525","2","2015","herg"
"340","839","2","2015","herg"
"341","547","3","2015","herg"
"342","495","3","2015","herg"
"343","535","3","2015","herg"
"344","497","0","2015","herg"
"345","570","3","2015","herg"
"346","502","2","2015","herg"
"347","481","3","2015","herg"
"348","500","5","2015","herg"
"349","193","2","2015","herg"
"350","477","3","2015","herg"
"351","183","2","2015","herg"
"352","559","2","2015","herg"
"353","378","3","2015","herg"
"354","558","3","2015","herg"
"355","482","3","2015","herg"
"356","180","3","2015","herg"
"357","150","3","2015","herg"
"358","503","3","2015","herg"
"359","218","3","2015","herg"
"360","517","3","2015","herg"
"361","25","3","2015","herg"
"362","455","2","2015","herg"
"363","191","3","2015","herg"
"364","474","3","2015","herg"
"365","57","3","2015","herg"
"366","188","2","2015","herg"
"367","811","5","2015","coei"
"368","225","2","2015","herg"
"369","61","3","2015","herg"
"370","518","3","2015","herg"
"371","221","3","2015","herg"
"372","181","3","2015","herg"
"373","28","2","2015","herg"
"374","215","1","2015","herg"
"375","895","3","2015","herg"
"376","567","0","2015","herg"
"377","544","2","2015","herg"
"378","539","0","2015","herg"
"379","549","0","2015","herg"
"380","226","0","2015","herg"
"381","851","2","2015","herg"
"382","164","3","2015","herg"
"383","540","3","2015","herg"
"384","187","3","2015","herg"
"385","283","3","2015","herg"
"386","185","3","2015","herg"
"387","299","3","2015","herg"
"388","849","3","2015","herg"
"389","189","3","2015","herg"
"390","487","3","2015","herg"
"391","222","0","2015","herg"
"392","235","3","2015","herg"
"393","213","3","2015","herg"
"394","862","2","2015","herg"
"395","800","2","2015","herg"
"396","236","3","2015","herg"
"397","817","3","2015","herg"
"398","240","3","2015","herg"
"399","899","3","2015","herg"
"400","492","3","2015","herg"
"401","194","2","2015","herg"
"402","564","3","2015","herg"
"403","242","3","2015","herg"
"404","433","3","2015","herg"
"405","186","3","2015","herg"
"406","442","3","2015","herg"
"407","860","3","2015","herg"
"408","504","1","2015","herg"
"409","152","3","2015","herg"
"410","464","3","2015","herg"
"411","60","3","2015","herg"
"412","120","3","2015","herg"
"413","196","1","2015","herg"
"414","566","3","2015","herg"
"415","358","1","2015","herg"
"416","305","3","2015","herg"
"417","192","3","2015","herg"
"418","209","0","2015","herg"
"419","412","2","2015","herg"
"420","512","3","2015","herg"
"421","20","3","2015","herg"
"422","316","3","2015","herg"
"423","713","2","2015","gbbg"
"424","510","2","2015","herg"
"425","72","3","2015","herg"
"426","546","3","2015","herg"
"427","387","3","2015","herg"
"428","553","3","2015","herg"
"429","85","3","2015","herg"
"430","402","3","2015","herg"
"431","404","3","2015","herg"
"432","415","3","2015","herg"
"433","49","0","2015","herg"
"434","403","1","2015","herg"
"435","407","3","2015","herg"
"436","401","3","2015","herg"
"437","815","1","2015","herg"
"438","478","2","2015","herg"
"439","435","1","2015","herg"
"440","408","2","2015","herg"
"441","406","2","2015","herg"
"442","802","3","2015","herg"
"443","410","3","2015","herg"
"444","437","3","2015","herg"
"445","416","1","2015","herg"
"446","405","0","2015","herg"
"447","411","1","2015","herg"
"448","436","2","2015","herg"
"449","519","3","2015","herg"
"450","451","3","2015","herg"
"451","308","3","2015","herg"
"452","252","0","2015","herg"
"453","360","3","2015","herg"
"454","325","2","2015","herg"
"455","354","4","2015","herg"
"456","873","2","2015","herg"
"457","258","3","2015","herg"
"458","331","3","2015","herg"
"459","857","3","2015","herg"
"460","290","3","2015","herg"
"461","356","2","2015","herg"
"462","158","5","2015","herg"
"463","130","3","2015","herg"
"464","312","3","2015","herg"
"465","840","4","2015","herg"
"466","157","3","2015","herg"
"467","198","3","2015","herg"
"468","878","3","2015","herg"
"469","134","3","2015","herg"
"470","318","3","2015","herg"
"471","350","3","2015","herg"
"472","55","3","2015","herg"
"473","303","3","2015","herg"
"474","352","3","2015","herg"
"475","843","3","2015","herg"
"476","573","3","2015","herg"
"477","333","3","2015","herg"
"478","592","2","2015","herg"
"479","594","3","2015","herg"
"480","364","3","2015","herg"
"481","550","3","2015","herg"
"482","385","1","2015","herg"
"483","306","3","2015","herg"
"484","106","0","2015","herg"
"485","563","3","2015","herg"
"486","882","2","2015","herg"
"487","365","2","2015","herg"
"488","841","3","2015","herg"
"489","95","3","2015","herg"
"490","582","1","2015","herg"
"491","341","3","2015","herg"
"492","242","2","2015","herg"
"493","337","2","2015","herg"
"494","323","2","2015","herg"
"495","348","8","2015","coei"
"496","314","3","2015","herg"
"497","848","3","2015","herg"
"498","302","3","2015","herg"
"499","161","2","2015","herg"
"500","117","3","2015","herg"
"501","836","5","2015","herg"
"502","343","3","2015","herg"
"503","29","3","2015","herg"
"504","880","3","2015","herg"
"505","70","3","2015","herg"
"506","81","3","2015","herg"
"507","302","3","2015","herg"
"508","37","3","2015","herg"
"509","163","3","2015","herg"
"510","355","3","2015","herg"
"511","329","3","2015","herg"
"512","366","3","2015","herg"
"513","310","1","2015","herg"
"514","187","1","2015","herg"
"515","346","3","2015","herg"
"516","374","3","2015","herg"
"517","866","5","2015","herg"
"518","46","3","2015","herg"
"519","321","3","2015","herg"
"520","162","3","2015","herg"
"521","867","3","2015","coei"
"522","385","3","2015","herg"
"523","42","1","2015","herg"
"524","75","2","2015","herg"
"525","127","2","2015","herg"
"526","86","3","2015","herg"
"527","248","1","2015","herg"
"528","32","4","2015","herg"
"529","24","3","2015","herg"
"530","10","3","2015","herg"
"531","885","2","2015","herg"
"532","169","3","2015","herg"
"533","250","2","2015","herg"
"534","445","2","2015","herg"
"535","879","3","2015","herg"
"536","390","3","2015","herg"
"537","826","3","2015","herg"
"538","39","3","2015","herg"
"539","62","2","2015","herg"
"540","5","3","2015","herg"
"541","29","2","2015","herg"
"542","42","0","2015","herg"
"543","8","2","2015","herg"
"544","89","3","2015","herg"
"545","320","3","2015","herg"
"546","52","0","2015","herg"
"547","48","3","2015","herg"
"548","449","3","2015","herg"
"549","15","3","2015","herg"
"550","397","3","2015","herg"
"551","871","2","2015","herg"
"552","64","1","2015","coei"
"553","422","3","2015","herg"
"554","44","1","2015","herg"
"555","248","1","2015","herg"
"556","96","3","2015","herg"
