"","flag","year","species","clutch"
"416","571",2022,"herg","3"
"417","427",2022,"herg","3"
"418","57",2022,"herg","2"
"419","554",2022,"herg","3"
"420","227",2022,"herg","3"
"421","332",2022,"herg","1"
"422","743",2022,"herg","3"
"423","464",2022,"herg","3"
"424","749",2022,"herg","3"
"425","207",2022,"herg","3"
"426","463",2022,"herg","3"
"427","666",2022,"herg","2"
"428","10",2022,"herg","3"
"429","272",2022,"herg","3"
"430","512",2022,"herg","1"
"431","90",2022,"herg","3"
"432","740",2022,"herg","2"
"433","489",2022,"coei","3"
"434","239",2022,"herg","2"
"435","310",2022,"herg","3"
"436","198",2022,"herg","3"
"437","594",2022,"herg","3"
"438","658",2022,"herg","3"
"439","448",2022,"herg","3"
"440","136",2022,"herg","3"
"441","392",2022,"herg","3"
"442","526",2022,"herg","3"
"443","467",2022,"herg","3"
"444","28",2022,"herg","3"
"445","26",2022,"herg","3"
"446","132",2022,"herg","5"
"447","585",2022,"herg","3"
"448","685",2022,"herg","2"
"449","395",2022,"herg","1"
"450","97",2022,"herg","3"
"451","327",2022,"herg","3"
"452","263",2022,"herg","3"
"453","8",2022,"herg","1"
"454","232",2022,"herg","3"
"455","169",2022,"herg","1"
"456","505",2022,"herg","2"
"457","224",2022,"herg","3"
"458","92",2022,"herg","3"
"459","751",2022,"gbbg","2"
"460","605",2022,"herg","1"
"461","672",2022,"herg","2"
"462","535",2022,"herg","1"
"463","235",2022,"herg","3"
"464","545",2022,"coei","4"
"465","241",2022,"coei","3"
"466","222",2022,"herg","2"
"467","659",2022,"herg","3"
"468","299",2022,"herg","3"
"469","760",2022,"herg","3"
"470","451",2022,"herg","2"
"471","265",2022,"herg","3"
"472","408",2022,"herg","2"
"473","294",2022,"herg","3"
"474","445",2022,"herg","3"
"475","536",2022,"herg","3"
"476","282",2022,"herg","3"
"477","59",2022,"herg","3"
"478","152",2022,"herg","3"
"479","683",2022,"herg","1"
"480","759",2022,"herg","3"
"481","1598",2022,"herg","3"
"482","5",2022,"herg","3"
"483","314",2022,"herg","3"
"484","290",2022,"herg","3"
"485","778",2022,"herg","2"
"486","517",2022,"herg","3"
"487","344",2022,"herg","3"
"488","648",2022,"herg","3"
"489","233",2022,"herg","3"
"490","288",2022,"herg","2"
"491","284",2022,"herg","3"
"492","115",2022,"gbbg","3"
"493","520",2022,"herg","2"
"494","157",2022,"herg","3"
"495","745",2022,"herg","3"
"496","457",2022,"herg","3"
"497","300",2022,"herg","3"
"498","161",2022,"herg","3"
"499","651",2022,"herg","3"
"500","163",2022,"herg","3"
"501","681",2022,"herg","2"
"502","248",2022,"herg","3"
"503","60",2022,"herg","3"
"504","58",2022,"herg","3"
"505","722",2022,"herg","3"
"506","531",2022,"herg","2"
"507","388",2022,"herg","1"
"508","749",2022,"herg","3"
"509","56",2022,"herg","3"
"510","695",2022,"herg","1"
"511","529",2022,"herg","3"
"512","747",2022,"herg","3"
"513","27",2022,"herg","3"
"514","530",2022,"herg","3"
"515","502",2022,"herg","1"
"516","603",2022,"herg","2"
"517","297",2022,"herg","3"
"518","312",2022,"herg","1"
"519","255",2022,"herg","3"
"520","516",2022,"herg","2"
"521","71",2022,"herg","3"
"522","560",2022,"herg","3"
"523","219",2022,"herg","3"
"524","328",2022,"herg","2"
"525","701",2022,"herg","3"
"526","553",2022,"herg","3"
"527","137",2022,"herg","3"
