"","flag","clutch","comment","location","...5","...6","...7","year"
"142",516,3,"1 chick","GenShed->PuffinPoint",NA,NA,NA,"2021"
"143",449,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"144",84,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"145",153,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"146",308,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"147",522,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"148",422,3,"1 chick","GenShed->PuffinPoint",NA,NA,NA,"2021"
"149",145,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"150",83,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"151",382,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"152",301,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"153",502,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"154",96,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"155",104,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"156",441,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"157",262,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"158",439,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"159",440,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"160",310,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"161",263,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"162",868,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"163",224,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"164",448,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"165",484,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"166",389,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"167",278,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"168",600,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"169",464,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"170",447,1,"1 chick","GenShed->PuffinPoint",NA,NA,NA,"2021"
"171",384,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"172",110,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"173",271,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"174",529,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"175",463,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"176",265,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"177",330,2,"2 chicks","GenShed->PuffinPoint",NA,NA,NA,"2021"
"178",527,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"179",207,3,NA,"GenShed->PuffinPoint",NA,NA,"GBBG","2021"
"180",423,1,"1 chick","GenShed->PuffinPoint",NA,NA,NA,"2021"
"181",280,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"182",105,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"183",7,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"184",315,1,"predated","GenShed->PuffinPoint",NA,NA,NA,"2021"
"185",853,1,"1 chick","GenShed->PuffinPoint",NA,NA,NA,"2021"
"186",326,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"187",261,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"188",598,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"189",861,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"190",94,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"191",415,5,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"192",288,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"193",103,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"194",850,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"195",536,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"196",29,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"197",282,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"198",847,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"199",281,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"200",28,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"201",272,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"202",849,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"203",258,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"204",57,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"205",139,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"206",413,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"207",851,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"208",214,3,NA,"GenShed->PuffinPoint",NA,NA,"GBBG","2021"
"209",79,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"210",872,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"211",219,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"212",97,5,"eider","GenShed->PuffinPoint",NA,NA,"COEI","2021"
"213",102,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"214",320,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"215",552,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"216",276,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"217",531,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"218",269,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"219",871,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"220",531,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"221",277,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"222",590,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"223",138,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"224",50,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"225",841,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"226",275,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"227",568,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"228",140,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"229",855,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"230",268,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"231",69,2,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"232",551,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"233",41,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"234",257,3,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"235",146,1,NA,"GenShed->PuffinPoint",NA,NA,NA,"2021"
"236",561,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"237",474,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"238",203,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"239",462,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"240",397,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"241",479,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"242",555,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"243",549,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"244",53,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"245",595,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"246",567,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"247",160,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"248",426,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"249",452,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"250",370,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"251",399,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"252",554,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"253",37,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"254",182,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"255",473,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"256",553,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
