"","date","species","count","notes","year"
"16874",2019-07-13,"wisp",0,"Fog",2019
"16875",2019-07-13,"lbbg",0,"Fog",2019
"16876",2019-07-14,"herg",530,NA,2019
"16877",2019-07-14,"gbbg",42,NA,2019
"16878",2019-07-14,"coei_ad",135,NA,2019
"16879",2019-07-14,"coei_ju",16,NA,2019
"16880",2019-07-14,"blgu",135,NA,2019
"16881",2019-07-14,"puffin",0,NA,2019
"16882",2019-07-14,"dcco",0,NA,2019
"16883",2019-07-14,"ternsp",0,NA,2019
"16884",2019-07-14,"razo",0,NA,2019
"16885",2019-07-14,"lagu",0,NA,2019
"16886",2019-07-14,"comu",0,NA,2019
"16887",2019-07-14,"baea",0,NA,2019
"16888",2019-07-14,"noga",0,NA,2019
"16889",2019-07-14,"corvid",0,NA,2019
"16890",2019-07-14,"peepsp",0,NA,2019
"16891",2019-07-14,"seals",0,NA,2019
"16892",2019-07-14,"colo",0,NA,2019
"16893",2019-07-14,"cago",0,NA,2019
"16894",2019-07-14,"porpoise",0,NA,2019
"16895",2019-07-14,"raptor",0,NA,2019
"16896",2019-07-14,"gbhe",0,NA,2019
"16897",2019-07-14,"scoter",0,NA,2019
"16898",2019-07-14,"shearwater",0,NA,2019
"16899",2019-07-14,"wisp",0,NA,2019
"16900",2019-07-14,"lbbg",0,NA,2019
"16901",2019-07-15,"herg",440,NA,2019
"16902",2019-07-15,"gbbg",30,NA,2019
"16903",2019-07-15,"coei_ad",97,NA,2019
"16904",2019-07-15,"coei_ju",49,NA,2019
"16905",2019-07-15,"blgu",20,NA,2019
"16906",2019-07-15,"puffin",0,NA,2019
"16907",2019-07-15,"dcco",0,NA,2019
"16908",2019-07-15,"ternsp",0,NA,2019
"16909",2019-07-15,"razo",0,NA,2019
"16910",2019-07-15,"lagu",0,NA,2019
"16911",2019-07-15,"comu",0,NA,2019
"16912",2019-07-15,"baea",0,NA,2019
"16913",2019-07-15,"noga",0,NA,2019
"16914",2019-07-15,"corvid",0,NA,2019
"16915",2019-07-15,"peepsp",0,NA,2019
"16916",2019-07-15,"seals",0,NA,2019
"16917",2019-07-15,"colo",0,NA,2019
"16918",2019-07-15,"cago",0,NA,2019
"16919",2019-07-15,"porpoise",0,NA,2019
"16920",2019-07-15,"raptor",0,NA,2019
"16921",2019-07-15,"gbhe",0,NA,2019
"16922",2019-07-15,"scoter",0,NA,2019
