"","date","species","count","notes","year"
"170",2001-07-01,"herg",75,NA,2001
"171",2001-07-01,"coei_ad",49,NA,2001
"172",2001-07-01,"blgu",80,NA,2001
"173",2001-07-03,"herg",130,NA,2001
"174",2001-07-03,"coei_ad",72,NA,2001
"175",2001-07-03,"coei_ju",36,NA,2001
"176",2001-07-03,"blgu",226,NA,2001
"177",2001-07-04,"herg",100,"1 DCCO 1 harbor/grey seal",2001
"178",2001-07-04,"coei_ad",55,"1 DCCO 1 harbor/grey seal",2001
"179",2001-07-04,"coei_ju",28,"1 DCCO 1 harbor/grey seal",2001
"180",2001-07-04,"blgu",155,"1 DCCO 1 harbor/grey seal",2001
"181",2001-07-04,"dcco",1,"1 DCCO 1 harbor/grey seal",2001
"182",2001-07-04,"seals",1,"1 DCCO 1 harbor/grey seal",2001
"183",2001-07-07,"herg",98,"2 DCCO",2001
"184",2001-07-07,"coei_ad",53,"2 DCCO",2001
"185",2001-07-07,"coei_ju",29,"2 DCCO",2001
"186",2001-07-07,"blgu",220,"2 DCCO",2001
"187",2001-07-07,"dcco",2,"2 DCCO",2001
"188",2001-07-14,"herg",120,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"189",2001-07-14,"coei_ad",55,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"190",2001-07-14,"coei_ju",21,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"191",2001-07-14,"blgu",175,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"192",2001-07-14,"puffin",3,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"193",2001-07-14,"dcco",2,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"194",2001-07-14,"razo",2,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"195",2001-07-14,"seals",4,"3 ALPU, 2 razorbills, 4 grey seal, 2 DCCO",2001
"196",2001-07-15,"herg",130,NA,2001
"197",2001-07-15,"coei_ad",90,NA,2001
"198",2001-07-15,"coei_ju",14,NA,2001
"199",2001-07-15,"blgu",220,NA,2001
"200",2001-07-18,"herg",110,"2 grey seal",2001
"201",2001-07-18,"coei_ad",80,"2 grey seal",2001
"202",2001-07-18,"coei_ju",20,"2 grey seal",2001
"203",2001-07-18,"blgu",270,"2 grey seal",2001
"204",2001-07-18,"seals",2,"2 grey seal",2001
"205",2001-07-19,"herg",118,"3 seals",2001
"206",2001-07-19,"coei_ad",64,"3 seals",2001
"207",2001-07-19,"coei_ju",13,"3 seals",2001
"208",2001-07-19,"blgu",227,"3 seals",2001
"209",2001-07-19,"seals",3,"3 seals",2001
"210",2001-07-21,"herg",115,"2 seals",2001
"211",2001-07-21,"coei_ad",52,"2 seals",2001
"212",2001-07-21,"coei_ju",10,"2 seals",2001
"213",2001-07-21,"blgu",225,"2 seals",2001
"214",2001-07-21,"seals",2,"2 seals",2001
"215",2001-07-22,"herg",105,NA,2001
"216",2001-07-22,"coei_ad",52,NA,2001
"217",2001-07-22,"coei_ju",13,NA,2001
"218",2001-07-22,"blgu",323,NA,2001
"219",2002-06-11,"herg",94,"2 LAGU",2002
"220",2002-06-11,"gbbg",10,"2 LAGU",2002
"221",2002-06-11,"coei_ad",1120,"2 LAGU",2002
"222",2002-06-11,"blgu",371,"2 LAGU",2002
"223",2002-06-11,"lagu",2,"2 LAGU",2002
"224",2002-06-13,"herg",130,"1 DCCO",2002
"225",2002-06-13,"gbbg",18,"1 DCCO",2002
"226",2002-06-13,"coei_ad",306,"1 DCCO",2002
"227",2002-06-13,"blgu",228,"1 DCCO",2002
"228",2002-06-13,"dcco",1,"1 DCCO",2002
"229",2002-06-15,"herg",99,"1 seal",2002
"230",2002-06-15,"gbbg",7,"1 seal",2002
"231",2002-06-15,"coei_ad",250,"1 seal",2002
"232",2002-06-15,"blgu",255,"1 seal",2002
"233",2002-06-15,"seals",1,"1 seal",2002
"234",2002-06-16,"herg",160,"1 DCCO, 1 spotted sandpiper",2002
"235",2002-06-16,"gbbg",18,"1 DCCO, 1 spotted sandpiper",2002
