flag,year,species,clutch
531,2022,herg,2
388,2022,herg,1
749,2022,herg,3
56,2022,herg,3
695,2022,herg,1
529,2022,herg,3
747,2022,herg,3
27,2022,herg,3
530,2022,herg,3
502,2022,herg,1
603,2022,herg,2
297,2022,herg,3
312,2022,herg,1
255,2022,herg,3
516,2022,herg,2
71,2022,herg,3
560,2022,herg,3
219,2022,herg,3
328,2022,herg,2
701,2022,herg,3
553,2022,herg,3
137,2022,herg,3
525,2022,herg,3
650,2022,herg,3
292,2022,herg,1
635,2022,herg,3
422,2022,herg,3
573,2022,herg,3
308,2022,herg,3
768,2022,herg,2
524,2022,herg,3
549,2022,herg,2
269,2022,herg,3
374,2022,herg,1
597,2022,herg,3
712,2022,herg,2
337,2022,herg,3
144,2022,herg,3
17,2022,herg,3
576,2022,herg,2
172,2022,herg,3
642,2022,herg,3
362,2022,herg,3
599,2022,herg,1
7,2022,herg,3
64,2022,herg,2
357,2022,herg,2
67,2022,herg,3
186,2022,herg,1
16,2022,herg,2
385,2022,herg,2
680,2022,herg,3
306,2022,herg,2
552,2022,herg,3
446,2022,herg,2
421,2022,herg,3
89,2022,herg,3
645,2022,herg,3
133,2022,herg,3
581,2022,herg,3
495,2022,herg,2
175,2022,herg,3
559,2022,herg,3
96,2022,herg,3
657,2022,herg,3
204,2022,herg,1
583,2022,herg,1
507,2022,herg,3
668,2022,herg,3
148,2022,herg,2
579,2022,gbbg,2
614,2022,herg,3
493,2022,herg,3
612,2022,herg,3
515,2022,herg,1
168,2022,herg,3
615,2022,herg,2
189,2022,herg,3
717,2022,herg,3
667,2022,herg,3
185,2022,herg,3
572,2022,herg,2
550,2022,herg,3
181,2022,herg,1
187,2022,herg,3
174,2022,herg,3
598,2022,herg,3
134,2022,herg,3
587,2022,herg,3
582,2022,herg,3
708,2022,herg,3
151,2022,herg,3
735,2022,herg,3
192,2022,herg,3
179,2022,herg,3
742,2022,herg,1
655,2022,herg,1
538,2022,gbbg,3
733,2022,herg,2
675,2022,herg,3
190,2022,herg,3
195,2022,herg,2
595,2022,herg,3
660,2022,herg,3
656,2022,gbbg,3
762,2022,herg,3
624,2022,herg,2
689,2022,herg,3
676,2022,herg,3
690,2022,herg,3
692,2022,herg,3
318,2022,herg,3
797,2022,herg,3
511,2022,herg,2
737,2022,herg,2
183,2022,herg,3
588,2022,herg,3
763,2022,herg,3
313,2022,coei,5
330,2022,coei,5
596,2022,herg,3
347,2022,herg,3
359,2022,herg,3
160,2022,herg,3
346,2022,herg,2
103,2022,herg,2
363,2022,herg,3
546,2022,herg,3
373,2022,coei,4
349,2022,herg,3
522,2022,herg,3
400,2022,herg,3
173,2022,herg,3
191,2022,herg,2
176,2022,herg,2
386,2022,herg,3
315,2022,herg,3
331,2022,herg,3
19,2022,herg,3
334,2022,herg,3
562,2022,herg,3
324,2022,herg,3
619,2022,herg,3
167,2022,herg,3
2,2022,herg,1
145,2022,herg,1
739,2022,herg,3
301,2022,herg,3
23,2022,herg,2
178,2022,herg,3
353,2022,herg,3
38,2022,herg,3
47,2022,herg,3
707,2022,herg,3
77,2022,herg,3
188,2022,herg,3
150,2022,herg,3
193,2022,herg,2
30,2022,herg,3
171,2022,herg,3
51,2022,herg,3
24,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,NA
NA,2022,herg,3
